cost,incumbents,operation_time
395.6434551613336,-10.02496149737195,0.42926692962646484
405.8309936676308,-10.02496149737195,0.005818843841552734
416.3149118484589,-10.02496149737195,0.005702972412109375
426.3875593942622,-9.735645038126904,0.0057239532470703125
436.44970462270794,-9.735645038126904,0.005737781524658203
447.07155198513306,-9.735645038126904,0.004865169525146484
457.15843353346327,-9.735645038126904,0.004939079284667969
467.2446052324124,-9.735645038126904,0.005091667175292969
477.2929864966724,-9.735645038126904,0.00490880012512207
487.8497380172421,-9.735645038126904,0.005144834518432617
